,gmw_fid_uid,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
42,128,3449.282748239641,4084.8491658640473,4145.113155423536,4230.036242641243,4262.5492631626375,4344.341932220405,4428.587171215135,4581.259659502173,4839.071952131339,5028.420440768672
43,129,0.0,0.0,0.0,0.0,0.22970717683426098,0.6431047458889738,1.4699487409206482,1.6536810642143813,1.424014860457597,1.5158114889853973
44,130,602.1698495636012,775.5089335497793,830.5445278718985,871.3604745830052,1359.2141634589955,1493.4695766463933,1566.8786210764551,1724.4533067203056,1879.6571969705908,2112.0230557385103
45,132,1456.136070111251,2084.708903144685,1978.5069194355578,1845.0856410932058,1921.1575884044144,1965.3142144524927,1837.3107934389477,1862.075323207366,2566.2683222184023,3224.8286162261384
46,134,924.793088055702,1115.4735848047203,1119.5991623764426,1299.3846953527245,1570.22779364758,1712.9587611707998,1666.3355646721063,1521.6559909978419,1447.2222174445242,1462.454569616892
47,136,95112.87013915947,135497.87028766944,146845.53283986423,156245.75184579167,176577.80677596273,189199.68047891106,196088.06103431608,200055.56024448515,199945.36806375615,189534.8588525031
48,138,15860.175311716665,21242.781538500894,21703.735168240513,22586.225492459504,20204.696331735668,20469.94207617324,20178.4465127957,20236.857984448987,21705.00589240362,25063.094332674045
49,140,2044.929672689751,3077.571193711835,3021.8301392240637,2945.5041862491375,2760.562430996124,3123.195408446474,3218.1415814826178,3231.3728640042204,3071.0463792964247,3536.595508849767
50,145,31.642038907117172,71.25418688505506,100.44737158927276,196.36362955776485,447.28639375056923,548.3012054295989,576.6566137963562,562.6826018472291,560.1749456220907,571.2801441434649
51,148,8.952969038020687,15.486692662269906,17.934675222829078,20.119160455370846,21.443328601884872,24.91486801699969,24.13753021705996,19.332621621897708,17.14092902533746,18.57880127365918
52,150,702.9901281775212,1159.1918463070494,1054.2942390270568,1035.7798120237644,1184.787155954004,1376.5487035144918,1345.513417565006,1231.973380094324,1265.8965537773965,1439.7624370364929
53,152,1714.3225643958929,2457.2429956080623,2663.9941722054355,2788.7227096541537,3173.2068143656156,3257.355492939815,3228.6789063891156,3100.6065225652346,2906.2497465062443,2559.188063425934
54,154,0.6766850508844353,1.6691545614917411,1.7594072903778957,2.255601227829917,2.6164428742312706,2.616465842943464,2.8871724979361053,2.1654251211570523,1.5788874245835682,1.5337450141197748
55,159,189.97766607885683,308.04295558295337,315.8365889777654,311.90658662681983,341.8355649808012,417.1223782166397,414.5557990920142,469.4286587785341,560.3704574275487,767.6242799357727
56,161,0.4127710932659835,1.1007408084198316,1.3759307334366526,1.513574264236067,1.467702902754553,1.8806243841529224,2.3852733938505066,1.7431231581177276,1.3761726931582572,1.7431898062663775
57,163,2820.758646384692,5283.118230592856,6253.55701107038,6569.016503448795,6013.428038646391,5340.659325131761,5117.521285959374,5213.957345783876,5909.393143333016,6498.980419892252
58,168,0.0,0.04492168076282626,0.04492168076282626,0.04492168076282626,0.04492168076282626,0.04492168076282626,0.04492168076282626,0.04492168076282626,0.08984341703895882,0.1347652643397103
59,172,5093.271818866203,7174.089824591624,7384.394327970662,7879.265169529679,8615.01467421939,9578.329057780895,9856.714307761507,9579.900775570604,9257.414402495955,9828.761162343693
60,174,33110.35077479071,51863.37206653727,59552.5627042536,61491.475377753726,64490.43609850599,64168.53113898263,61169.8686068559,54816.33417852451,54703.73102637278,64598.56783833152
61,179,33179.87709113984,42773.46057197092,41589.97135203955,45733.526255963014,57334.62564957145,59347.73826468823,58637.18564187714,61257.32153246785,61736.73441356679,55721.52684510093
62,183,4769.90065133821,10131.404180040709,11668.027330595336,12359.310843027513,12803.217160718985,13470.914718950076,13405.215905479754,14881.022108851697,17377.430524463274,20958.780633726004
63,184,24.596701038635405,36.98861616242476,43.799598138747406,52.2399665696938,43.887924066276355,58.50040380098594,63.401584352207465,66.92581878446067,42.90078365285852,33.00973462337402
64,186,14.449010362611519,28.439456017922353,27.752977790175393,27.478751673870637,25.14719267211317,28.987796324154225,31.6855300897527,29.674284289068595,24.6907619582871,29.307998554199557
65,187,19.460707301237004,24.60402128218334,25.35709470982834,25.447317810771544,26.289948456763092,26.82286655519287,28.994479698076052,26.821268621863382,22.167546084915088,21.36972371295687
66,189,4440.844841695549,7307.415339284954,7423.055493949478,7913.73534694206,10373.688050270503,11970.116313350878,12224.364302728376,12291.52944664277,12704.747375681936,13718.525878377499
67,190,5.710364580524361,7.137731503700509,7.8284713659426535,7.551629129429985,9.208135239688751,9.622361217442595,8.61007488535418,7.090594094582772,6.491563150434022,9.71413674676933
68,192,647.9387136556215,946.6782684008925,1094.7921435985781,1065.7824117831158,1006.4404175810554,859.1240456175922,819.7023887512784,747.4254779969277,685.3962568511527,754.7397143427902
69,195,11128.824804481837,16281.393278042324,16939.135390936128,17303.11794280735,19198.10701344916,21326.765805664618,21461.678365016378,21327.725906193813,21545.46122050909,23921.448921362877
70,196,1492.1961562195374,2105.38465692142,1937.6425285586463,1851.0542292605094,1925.295507792636,1982.2838963250886,1984.8246427064523,1930.5260319194006,2578.8926466864314,3191.582163780734
71,202,145.5575097261085,243.55153125411638,246.32093706876452,272.43790409245617,291.8027282062479,394.31415936967795,408.91517954763555,447.97926391350495,562.3283365712675,773.4640823009137
72,203,21.64529680519489,31.247693866389028,30.369095191575603,29.410161323841283,28.555156052741506,30.143363217562438,33.82721402871597,33.961466113670944,30.817982277813204,27.96930779700425
73,204,7273.22157929477,9722.914128963654,10275.532460296872,11420.419435357679,12037.662418264417,11441.72045062151,10159.605208785564,9720.78130304968,11869.179935479588,17820.28232072709
74,205,1104.0786975279648,1699.673837738062,1789.5008964998585,1957.513758189796,2133.049721392592,2325.2238404954155,2395.41623925366,2586.1680054247927,2974.5929784357672,3608.186517723806
75,207,479.31931607986576,694.0895291945058,707.0004267927695,693.2030061121519,744.0862186215056,805.3276723828203,799.4855274518247,746.9611233682723,705.6481911191925,692.7874301587023
76,208,10597.29967413919,16348.254785854944,17331.673886936238,17879.55081363204,17957.052996788065,18383.50166223712,18524.93656059404,17984.840823432343,17669.062691517585,18112.383483626523
77,209,10.298856886794526,18.676734029427216,23.402718945348475,18.909870533621724,12.263829166371291,10.065123801281473,8.708011425674243,12.078916633992943,14.420256538823843,16.292203888055262
