,gmw_fid_uid,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain
9,61,18.251926101874382,20.44151926269615,21.054313181002613,17.027090822998375,1.5756524348455119,0.7440671947871762,0.5689928696719171,0.7878281015421584,0.5689928696719171,1.3130368492824966
10,62,141.1429427235746,347.38049861043123,559.2287583207926,525.7622255150745,412.09422451598226,320.98642267233663,398.9670841959146,470.8753650589338,600.22900654365,683.9051549880182
11,66,351.427051732627,542.0543784297406,521.4991667143656,447.4739154365236,404.13429938771594,395.11347886911176,455.9793750646644,589.9202451568162,626.5379939680536,609.7598140088071
12,69,9042.888790582441,12667.180420905132,13313.812419833957,12888.394343162647,13287.481879133584,14779.34786871659,17492.199517713358,19125.3941399606,20660.97053249705,20873.79724565072
13,70,0.42677816678506936,0.8535500102546749,0.711294739837649,0.9483889094635466,0.4741929571065952,0.18967459511095858,0.1422549374228735,0.18967263972178472,0.426763605906169,0.9483790911558846
14,71,66.31614516850526,96.37229116050204,114.3089997855962,114.6485106890354,118.2845904469027,107.86183012528139,108.10422100691352,119.2542155462061,154.20674948195511,154.5946631061928
15,79,739.3122350132849,1177.2097520491282,1121.7697978174242,784.4332753930792,544.9363199661192,520.1918952391193,611.6762600635533,732.314886153908,896.7895959534438,973.0312554854085
16,80,122.90411810057856,205.58436395815534,222.74249978219922,210.53179989071748,163.42563865567507,143.21505763375757,141.71182030781938,152.57027035465848,164.34764374958866,174.1392416704046
17,81,1059.7461299013603,1436.5213280377325,1507.9501321556208,1665.929360006654,1805.0533419161075,1639.2821922745309,1499.9611544401796,1490.3453626776352,1714.9382216351787,1854.4512361003117
18,82,122.37482133850725,159.48864867330326,149.90736343778903,117.43804686348152,123.82575040456764,134.32661044889588,149.08490986443564,169.94040933942475,225.49132381611034,232.94350794046278
19,83,18.340878996624497,25.037257797311568,28.191485318892255,25.86323390655346,20.81728252066749,19.361758578784656,20.866022855859256,25.33031106526323,31.83256127974676,34.40452233520727
20,85,3052.840531819117,4556.256473832035,4708.142704788182,4712.925029343578,4548.516652932127,4410.8928312662365,4572.660628163084,5134.005953958536,5352.939389540662,4978.952474845779
21,86,0.47565340685318863,0.9037459597314847,1.046684582960746,0.8564814504385072,0.47593234940412293,0.47591720169381024,0.5233238774267264,0.7610720805586827,0.6659761197906211,0.2855836237670206
22,88,869.859643857628,1133.6442673222098,1236.5620647897904,1272.6106244972714,1304.377835862837,1320.6517037192436,1334.30904026895,1257.3507295604848,1155.2587133797324,1171.1406822783151
23,89,2643.9904085897056,3679.8124547602656,3864.135163984305,3705.7834711567843,3227.5912205393156,3115.632192310032,3305.6854079893797,3913.1570108847386,4472.103797979955,4626.21333166622
24,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,92,12.088453431489473,15.718073379776886,14.339531604937426,13.05201966989523,11.30516025425969,10.063965740162025,9.69660103730083,10.709246473291188,14.571245605966178,14.34191499651907
26,96,4.762571091397602,6.477946435805213,8.147322638335908,9.053208582659389,15.77533944029085,18.254806165003792,17.300888441726315,18.25348224029953,18.490461678421173,18.96717114782029
27,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09380321910139763,0.14070482865209644
28,99,253.99979545190908,304.99076106757826,322.3373096104992,304.64961436682364,290.388119906626,278.3039592389658,272.42723427337444,282.6605417499735,286.97240436253867,294.3336137573024
29,101,2558.2600002089866,3967.7511316996834,3853.389029508989,3919.6786763628456,4454.554892457855,4718.3537886448785,4621.26570792414,4553.811870194975,5071.908369736671,5257.822402059415
30,102,21.50749448005021,32.819461195816714,36.93844326376571,39.11043272244758,45.18966751999274,46.07066184840249,51.55448569657,53.56568778492929,49.143640750137415,41.48366975857985
31,108,215.0553416541501,434.43755541527577,539.9335902728512,538.3097443804194,642.6409575535201,508.1223206691604,555.0132579259707,568.1845256490312,735.9118509591004,754.7738054796278
32,112,7.892222577550667,8.564210425570685,7.937957496310855,3.3147552897535224,0.7229410711813229,0.7229410711813229,0.7229410711813229,0.7229410711813229,5.26121873235711,5.3577655212308954
33,113,579.9952178277808,823.0577696276279,945.0588643801782,861.44279615752,707.2337653269487,580.0826380111475,631.6757351239182,700.4690848846853,812.8838804503205,839.7873363484671
34,117,983.0761186088919,1995.1885076581661,2344.8598167370274,2707.9169462805203,2851.3642819848283,2818.8219102826456,2701.0602624679705,2610.9006061017853,2686.8981759481358,2871.9272681813864
35,119,2338.072047017222,3135.7118393135215,3539.7257067940363,3294.518039398265,3073.2809957932477,2755.1548587670295,3052.413988572822,3238.1139258346543,3542.472301556027,3851.255397749341
36,120,24.630134438635274,32.8562599838283,40.661255079406345,38.37080328407056,29.863324055636433,28.647361371896626,28.694164784197422,29.95690080409207,36.826531809674165,43.22849239055708
37,121,1311.0905630849818,1737.315630770783,1820.6477842891918,1830.2544179568285,1705.3126401795603,1712.806019568965,1810.4123151950962,1982.2527726317282,1989.6028637717466,1964.2730761306966
38,122,4953.304320599524,5966.946414582541,5859.403204826916,6010.612146731593,6053.7277420935025,5827.478944346307,5858.221118492537,6141.809725971536,6257.47492118144,5904.308878986412
39,123,80.92923773638782,140.1676975150669,190.0200112003035,188.0258984970052,173.87292456787733,144.59410453898641,140.65445107424165,115.41161115435469,118.32940973967582,138.1730197194757
40,125,1.331411140824065,2.8059210801208327,2.900917316438955,3.0912821779563053,2.568373945577302,2.187807506135668,1.9023354734110294,2.140359394226729,2.996518445841304,3.567280807586695
41,127,330.0156498577662,529.2795536145894,606.0231653948194,522.8591547227272,437.6219901121689,451.46258956815194,485.4285053668802,539.4475552518193,662.3514573275774,766.4288680244038
42,128,4332.195844325655,5072.919624551794,5334.336732558135,5322.812561057576,3961.7583562843038,3814.4593638656816,3342.3570867991757,3040.3569853007366,2723.8037672500586,2645.1900031372757
43,129,0.0,0.0,0.0,0.0,0.2840804711297963,0.5681561482454291,0.37877341919725194,0.7102058116678338,1.0891044070920273,1.325912486353408
44,130,665.7775208495755,820.7010987521044,895.3027153103096,1017.5701364440778,1152.8380386917306,1301.037420802635,1328.9006428195962,1336.43367730229,1309.7442180210783,1381.1557188884217
