,m49_un1,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
0,16,3022.497251489365,3092.7813308820114,3137.066571863791,3106.7158362509936,2907.7513474628445,2665.5236699723287,2661.96547373246,2705.8283288150847,2720.7525083967043,2695.43519879146,2676.9508469198527
1,24,29342.927970020526,28998.886847184836,28854.31749344493,28887.412084175237,28863.131401512557,28811.0511098135,28572.460971168675,28584.83674824332,28375.323673596948,28456.630866967436,28375.07047637727
2,28,859.9802962022014,805.6524685723579,804.5262592041416,812.0315103793225,846.4015478581783,849.6359089222202,864.9304761830897,872.9715376624251,879.9554594382221,876.9969850555582,868.7895924624293
3,36,893392.648095346,877063.3353223635,865644.8093161242,865722.4875706711,861032.3809680718,853932.0507594048,849531.6027746338,851363.2963591802,854785.2238925013,856692.6219133518,852829.0409555595
4,44,169010.17709847726,160883.61852729152,154983.72374797618,154797.29761651534,151106.0911394442,148967.11582623512,149058.2013261119,149813.2787273989,150218.12782661826,151748.57983963288,154121.15360642973
5,48,64.12273359929269,81.4310388481565,85.2547502215198,86.48381218067361,80.1434489458434,60.44128136829021,58.87230654950467,59.21383663002745,60.42851359418235,59.8209153655613,59.699885199864084
6,50,444407.782718924,448764.0642353787,448336.6876185784,447662.4551875908,447482.2870839383,446007.00521260255,446470.2570673289,445525.73962578806,447569.86375229777,446957.46182815224,447881.5969640411
7,52,9.776483079044546,10.203261245829616,10.446019957823983,10.303764687406957,10.724871988508092,10.0666548323366,9.598117163559147,9.45868863942192,9.460100980250798,9.881213271282522,10.632853344162376
8,60,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526
9,76,1147458.9083517038,1138910.0875767134,1135814.44752609,1135771.6503767972,1132159.9657716348,1127987.8476518071,1132270.9285335133,1139819.1909504381,1142226.8695035048,1142059.9590590547,1141472.8686215037
10,84,54572.73977517673,53372.83197300795,52710.28638202153,52408.001743231165,52101.850789159595,51840.478931532205,51696.10760080378,51894.70962187933,52468.92376281758,52726.51973225667,52552.234567482374
11,90,52730.52152207189,52925.14010054295,53004.32652739844,53084.064847802765,52898.24973000374,52548.469673863205,52357.92627473824,52221.10330068258,52471.250917615784,52750.39063572689,52650.573224581196
12,92,87.55688150977441,81.51369193785058,80.70848628150523,84.03324365710489,86.55313750702653,88.3634662610704,90.14581336379833,90.8426440897257,92.01450528033725,89.26613253089116,92.43683184781925
13,96,10938.904568788383,10954.563642016177,10940.30284590308,10970.342844442112,10956.916358596538,10919.363479771333,10887.063296132019,10890.3985223179,10930.422394219755,10995.711920543752,10970.097220645195
14,104,582429.6342559154,557002.8950164565,550208.030212395,552463.3352441425,548584.8319934555,537639.4195120884,536362.8503500181,538455.8731971653,537882.0240167261,537992.4340370259,544043.6154303288
15,116,64641.058141873815,62975.2270180187,62354.59711913855,62143.40918021265,62038.68714107269,61686.90846691525,61642.26847920113,61711.46396379462,61860.840058131034,62163.5554858355,62672.44745460639
16,120,196617.57624338835,197349.12807615625,197285.95411136182,197296.56217334227,197463.22867299218,197834.02620877838,197422.84383844226,197155.31152938554,197139.95814373673,197519.6994614103,197268.95464735266
17,136,4417.483085904016,4331.541637798704,4305.20067528172,4301.19095409444,4292.1005123831765,4270.818863042816,4262.531061012725,4263.011864390152,4266.701507790219,4270.697793038595,4264.357821907022
18,144,25861.24537318539,23544.628681090995,21263.65349385328,20066.5291833304,19733.532788586075,20355.628629911105,21105.21765728956,21350.94534394126,21172.391968564247,20354.17291322129,19874.347357005994
19,156,24531.511721547537,22528.15172072311,21914.95071835398,21380.9545715188,21139.011072188307,21583.242228027037,22010.201720414814,22098.661078475117,21828.205977231875,21792.715385035386,21589.64358557364
20,158,21.669698949203315,23.02024018216465,23.549520987619086,22.562426135896356,22.389380430393004,22.69516554501857,23.093938402805726,22.047089374515732,17.515031880230687,14.25004971449419,15.36640575650064
21,162,171874.4736227437,168093.3084987894,166099.21339826295,165916.69950112788,165013.13001136054,163680.69054076693,162842.64055680463,163610.70510082023,164680.97560031162,164944.91580296902,164034.69141815274
22,170,288018.3312507837,279682.0238880174,278473.13663305977,279248.54762826423,279981.90649318136,279009.7524129798,278270.35191086837,278255.62263884605,279810.79540260846,281035.2932420405,280749.92319870554
23,174,96.69653054701747,97.60582883573386,98.18646610705778,98.23993335669911,97.06528603176352,95.51836642163273,95.10009302219069,95.84787068197349,97.77127389921178,97.90541070775747,96.944358646315
24,175,464.7185642749494,474.47775555230487,479.456739804121,479.0990310420988,477.4307779198794,467.04356079266023,462.6433632278546,464.08251011821227,468.6393266214796,469.9031129441538,464.1180677582628
25,178,2048.9490016299633,2050.766382869221,2046.9187409711071,2048.8494157414316,2044.6400217030377,2033.5234955889432,2027.4085710571128,2026.5590086637192,2031.0220492681442,2040.8177968886307,2039.9073172474284
26,180,23799.53602829059,23805.77823726623,23736.376972465638,23726.881035107494,23644.884174200342,23634.852937258565,23615.206233177705,23632.066826664843,23658.41052790108,23718.869564025597,23682.87491201758
27,184,20142.097791597174,20595.539056079666,20600.562817598708,20716.485969423105,20736.506171587484,20749.117013575928,20837.08151743175,20864.225220255255,20967.657708531973,20960.224028783454,20867.577394258817
28,188,37939.13240826286,38275.94310733666,38258.035880558615,38292.87204138343,38247.88453100797,38132.19279899052,38108.846097058784,38113.64635521167,37928.4035319259,37471.32225489802,37110.85460292018
29,192,388882.3853537853,373721.97155031987,368800.72631942015,368908.30926479475,366130.7321456069,358755.82115676603,356146.0884770643,357097.7792208786,359368.44664663513,359971.5338300431,359694.107053166
30,204,2930.415809269414,2403.8525903975183,2295.7444152018343,2446.89147228345,2713.2935672434005,2875.587137547967,2972.737345553598,2960.666923751344,2953.549997186179,2932.5636685934,2893.7448596161075
31,212,1.2893329174945718,1.2438303528455512,1.2438303528455512,1.2438303528455512,1.1983277881965306,1.1983277881965306,1.1983277881965306,1.2438303528455512,1.2438303528455512,1.3831361365959693,1.4300377461466682
32,214,19658.46815040222,19635.440444513362,19522.985973265662,19491.92781518913,19293.427530053883,19128.854189708192,19023.76686112114,19031.430681084665,19094.234736901617,19164.73501464687,19201.68756580697
33,218,159407.24966549742,154686.72431958016,152336.72869007048,151684.79962752256,151406.80747774756,152146.4605011157,152313.2880436134,152330.53043280044,152515.49936711648,153491.1659016763,153546.2131762857
34,222,37443.75704055164,37622.911882509914,37775.76323856844,37788.18633552772,37673.34492306979,37390.76985268526,37304.42731800803,37464.180267135904,37460.141411532066,37246.73192138984,37113.52283265597
35,226,25662.099627610438,25694.99601548457,25682.859701208516,25751.58024921181,25760.01424302002,25731.47271502488,25618.915260778333,25579.5381530182,25557.315163947635,25604.96166156993,25623.769172964243
36,232,9336.638148017812,8225.3823373801,7759.408785331969,7815.9022745182065,7805.333104455314,7849.246160794935,7824.652449635898,7919.187096926061,7945.086077352391,7851.960311438296,7791.297022483184
37,242,48571.46756890084,48537.06184534583,48634.7152555831,48752.7990732077,48770.689896507225,48960.284223672315,48781.99187989704,48801.94164254566,48733.79421872548,48869.57583511673,48813.3717771333
38,254,53820.17551458157,54703.08861066758,54808.24597326932,55009.399091716165,54912.9518329979,53519.384607703236,53290.292946226844,52733.94543016561,52279.27284038013,51704.90732970029,51436.94507695018
