,gmw_fid_uid,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
170,429,20138.826254049716,20592.267518532208,20597.29128005125,20713.214431875647,20733.234634040025,20745.845476028466,20833.809979884292,20860.953682707797,20964.38617098452,20956.952491235996,20864.30585671136
171,431,2229.484005358084,2183.1486060753473,2189.5521759498592,2235.676253214586,2279.227028920578,2282.8957284614944,2315.242519397444,2316.7691018466294,2306.579538523143,2256.3915013028013,2180.9131013790457
172,434,17.172540650214124,15.6831323828158,15.78340779319268,15.68632562186544,16.288536624311103,16.845749841176556,16.845749841176556,16.845749841176556,16.845749841176556,16.144645249954973,16.09777363875174
173,435,12.156315495878225,12.156315495878225,12.156315495878225,12.156315495878225,12.156315495878225,12.156315495878225,12.156315495878225,12.156315495878225,12.156315495878225,12.156315495878225,12.156315495878225
174,436,1934.1503184540438,1956.9266488933895,1966.289692744767,1967.5720218712208,1966.4298971521903,1962.0768234425404,1965.0830371288966,1988.829392830247,1989.2414950832097,1955.3094226730634,1942.919137955429
175,437,3678.4809075773346,3005.4358940313964,2918.7955343749913,2878.8369382131295,2762.0991943807508,2426.5423001821528,2389.093203516149,2512.998475474262,2504.033088078371,2298.5987925416357,1997.0908184409527
176,438,23140.123820113095,23455.965246726035,23522.049516652067,23575.10535494155,23528.77151905322,23462.95706625598,23388.215874693764,23385.961407595336,23319.370205758212,23071.402644040096,22823.57854416244
177,439,43.4525606690939,41.61695396028823,40.70422118774577,41.12932361572691,43.35680002148183,54.27436444308017,56.3082441366559,53.4751395357774,50.602543023432354,51.70794508903836,50.79599259154625
178,441,21978.41221851207,22398.83936444571,22408.762201330814,22419.576415172283,22374.933013090165,22419.766420037264,22565.342767255006,22673.219015836698,23222.42510438271,23517.743966637325,23408.842971383325
179,447,36.1753048970587,31.826552847116268,26.803369829571714,28.864451100489926,25.87142023090918,27.432725982264657,27.16058895176132,27.99852086615011,25.439807495762185,25.12316699190197,27.35642983196978
180,455,4.602511520804389,4.602511520804389,4.602511520804389,4.602511520804389,4.602511520804389,4.602511520804389,4.602511520804389,4.602511520804389,4.602511520804389,4.602511520804389,4.602511520804389
181,456,2.131412860316729,2.131412860316729,2.131412860316729,2.131412860316729,2.085444123366654,2.085444123366654,2.085444123366654,2.085444123366654,2.085444123366654,2.085444123366654,2.085444123366654
182,458,4459.198135794959,5121.285433409783,5117.88378849261,4930.232180729843,4132.611232691105,3440.7327399332,3322.2506212767926,3361.6366099742017,3359.046868301953,3362.03312615239,3398.102058775694
