,m49_un1,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
0,16,223.08204640675157,363.37937033197386,400.38053721773485,501.66543257411143,600.88415556212,601.5632142422824,557.0859981383721,530.3734677366916,545.703667800032,613.8735615181399
1,24,538.378331452015,790.5692846123071,767.8209129926745,785.9020772925078,854.7136948163795,1070.522530569462,1092.0647877716442,1279.6467316523854,1212.8849990727233,1299.9902980396596
2,28,61.52699487391834,76.21755622466823,74.28123717150841,54.91082411579259,45.222368863722025,32.43202219544894,28.4711904034453,29.238204972779492,35.81604787014446,46.94718727837339
3,36,27861.76424567795,44916.36788012467,45808.700887682266,48887.57214593275,54249.48031050333,57867.674349584704,56888.7281025454,54317.590395247535,52902.75496659778,56474.04529448374
4,44,8366.946181865094,14573.732767377944,15056.515886240668,18696.056945646185,20695.57241802084,20473.12303825882,19850.81132875792,19548.5837338153,18216.295919390996,15966.232103313823
5,48,3.6637246099929834,3.961733517369519,4.0041943710579355,4.343052451805564,5.8720415964004005,6.170192853554513,5.829283439082229,5.360536728972983,5.573604011118704,6.042932810199062
6,50,8110.361728144889,10717.490152516442,12139.793469315126,13333.312363917681,17308.211257952113,18361.34592769202,18691.697067395653,18403.46505884776,19104.85637200709,19359.204451016296
7,52,0.0,0.1840131314752375,0.1840131314752375,0.0,0.18402120381454112,0.3680405105963565,0.46004937704549825,0.5060547385155328,0.3220334136681931,0.09200882603805327
8,76,26885.51987610969,37498.9462168371,38979.96916257376,41804.80794215284,51032.4284586497,54435.22268165918,55164.57228787185,58187.79634931316,62068.56689359958,62975.039134310915
9,84,1673.1671075885524,2597.689493435277,2878.849139464966,3087.2852323736133,3275.442861918228,3400.6432799948507,3269.9340423410613,2929.340351775715,2790.0558785040694,2939.026376838314
10,90,540.0888031945306,901.33046468755,936.8921210375819,1036.1515327358704,1237.4880179902598,1332.732702297339,1451.2953517160217,1390.3997343707788,1506.7056529145793,1707.9483765764105
