,index,m49_un1,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
0,4,16,366.5752240035811,597.2201046746637,605.5301415849029,483.47474495293045,304.7781098577066,301.180487627087,300.4128136893304,285.6826967382978,273.2033182569011,335.28781619438473,287.3224985269366,468.0209379402924,515.6772504462515,646.1289370143942,773.919460047286,774.7940657799003,717.5088424087771,683.1039626768003,702.84876713805,790.6493970089516
1,6,24,242.83378180299317,377.3121978356888,390.2403011664687,382.4937018398357,403.40030615686527,374.9339616261959,417.3161929724669,389.91217980920027,408.0874395911656,415.0160719434993,693.4139696007135,1018.227803501924,988.9286327418773,1012.2165906326334,1100.8437401191031,1378.7985773259775,1406.5443115208095,1648.143820143225,1562.1568565137075,1674.3456791340766
2,7,28,8.995709160165699,25.945025830287133,32.903677019233754,51.646436320087616,43.58173213425179,46.710877403440406,51.809322588766726,61.49449404205431,66.01707080654177,69.67043446860248,79.24478988235249,98.1657602609574,95.67184361790854,70.72337480872777,58.244956151873055,41.771401148467454,36.669977232674626,37.65786732072697,46.129917342818594,60.46646677715797
3,10,36,14410.358286575101,21452.911046993046,22664.987235827197,20651.670409735718,18479.427624407534,17501.963322462583,18567.51254159386,19630.615755042927,20246.096639482956,19880.86529983825,35885.05594860984,57850.83673000536,59000.13293460455,62965.6200583435,69871.58526500736,74531.7027787611,73270.8515083274,69959.30886284412,68137.04635041014,72736.75339318284
4,12,44,300.3759960096014,683.8522146601648,1054.1646655126376,989.6062165696577,815.3443713955512,651.1988226765563,817.0960034566042,945.3265577352038,1192.942349400978,1346.02448356132,10776.357491497056,18770.498921961596,19392.308046418628,24079.91983554967,26655.231433321376,26368.723789077994,25567.20632894878,25177.9469102667,23462.003069141003,20563.99326560183
5,13,48,26.205569993371096,31.35585969050355,32.94468920745339,25.4455170033632,2.73724781664024,1.1492920480433624,1.1500676004213846,2.08214368528882,1.5891581039220302,2.0243741644152347,4.7187594242274775,5.10258530905277,5.157273522505403,5.593711828387397,7.563000654277674,7.947009881036651,7.507929523315102,6.90419884173752,7.178622646102438,7.783103039547198
6,14,50,15577.676282526014,18301.38204424379,19236.13295248013,20502.36398775902,23625.756872749054,25520.555491258725,24753.124864911046,26947.197356116423,27058.393920214632,28530.965940275026,10445.88497022729,13803.78250136792,15635.663413472457,17172.877350496547,22292.41924112251,23648.82281312172,24074.304452633864,23703.070898946542,24606.440344350412,24934.03248694356
7,16,52,0.5332800495039148,1.066552197718012,0.8887973274966652,1.1850580089360314,0.5925271331126108,0.23700761974861562,0.17775445412897883,0.23700517639486285,0.533261854978456,1.1850457404836983,0.0,0.23700299306394912,0.23700299306394912,0.0,0.23701338997725985,0.4740243366374024,0.5925287964117976,0.6517822218492878,0.4147686759856774,0.11850440772621332
8,23,76,22912.59620435984,32306.435338978958,34103.568331285205,33120.36625236894,39437.46206041378,49041.33633355088,59384.61462898405,66170.7912437179,70811.43983361847,71210.52291015678,34627.68460943104,48297.436269271966,50204.94617425506,53843.24763848209,65728.12598240809,70110.8154631449,71050.19429049602,74944.00961508855,79942.31721964155,81109.82430163957
9,24,84,591.3604899792151,918.7132202849638,892.3165157158315,770.217050340714,678.732316080543,654.7773295239382,739.6126601990193,1031.5327607011038,1179.3687219648496,1147.7368166262559,2154.9854035715944,3345.7404917745416,3707.8650700783674,3976.324051705733,4218.665024941615,4379.919135336505,4211.569842562125,3772.8961270748905,3593.502206716777,3785.371415725892
