,index,region,name,2007_count_gain,2008_count_gain,2009_count_gain,2010_count_gain,2015_count_gain,2016_count_gain,2017_count_gain,2018_count_gain,2019_count_gain,2020_count_gain,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain,2007_count_loss,2008_count_loss,2009_count_loss,2010_count_loss,2015_count_loss,2016_count_loss,2017_count_loss,2018_count_loss,2019_count_loss,2020_count_loss,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
0,6,AGO,Angola,4024,6252,6466,6338,6684,6212,6912,6457,6757,6872,242.83378180299317,377.3121978356888,390.2403011664687,382.4937018398357,403.40030615686527,374.9339616261959,417.3161929724669,389.91217980920027,408.0874395911656,415.0160719434993,11518,16909,16408,16789,18264,22900,23375,27403,25970,27839,693.4139696007135,1018.227803501924,988.9286327418773,1012.2165906326334,1100.8437401191031,1378.7985773259775,1406.5443115208095,1648.143820143225,1562.1568565137075,1674.3456791340766
1,8,ATG,Antigua and Barbuda,155,447,567,890,751,805,893,1060,1138,1201,8.995709160165699,25.945025830287133,32.903677019233754,51.646436320087616,43.58173213425179,46.710877403440406,51.809322588766726,61.49449404205431,66.01707080654177,69.67043446860248,1366,1692,1649,1219,1004,720,632,649,795,1042,79.24478988235249,98.1657602609574,95.67184361790854,70.72337480872777,58.244956151873055,41.771401148467454,36.669977232674626,37.65786732072697,46.129917342818594,60.46646677715797
2,11,AUS,Australia,330218,490977,517036,478247,435225,415064,443729,472509,485525,474045,18844.774755992312,28074.96780292179,29560.55478936791,27257.027933342964,24745.5680288082,23607.96995099768,25253.177243666472,26908.965031510197,27646.425226389933,26972.589506459622,777702,1237934,1267304,1349727,1490862,1585741,1557129,1486632,1452035,1546119,45325.834260798016,72114.84795830831,73781.13648951649,78611.25907091064,86883.71658638548,92458.15818674877,90805.54502894207,86726.43596859156,84689.95671502028,90143.91059379696
3,14,BHS,Bahamas,5406,12332,19112,17963,14839,11837,14874,17211,21711,24474,300.3759960096014,683.8522146601648,1054.1646655126376,989.6062165696576,815.3443713955512,651.1988226765563,817.0960034566042,945.3265577352038,1192.942349400978,1346.02448356132,193591,338420,349907,435221,481349,476134,461064,454165,423059,370903,10776.357491497056,18770.498921961596,19392.308046418628,24079.91983554967,26655.231433321373,26368.723789077998,25567.20632894878,25177.9469102667,23462.003069141003,20563.99326560183
4,15,BHR,Bahrain,479,573,602,465,50,21,21,38,29,37,26.205569993371096,31.35585969050355,32.94468920745339,25.4455170033632,2.73724781664024,1.1492920480433624,1.1500676004213846,2.08214368528882,1.5891581039220302,2.0243741644152347,86,93,94,102,138,145,137,126,131,142,4.7187594242274775,5.10258530905277,5.157273522505403,5.593711828387397,7.563000654277674,7.947009881036651,7.507929523315102,6.90419884173752,7.178622646102438,7.783103039547198
5,16,BGD,Bangladesh,276020,324265,340820,363221,418477,452004,438389,477281,479210,505289,15577.562594042354,18301.268355760134,19236.01926399647,20502.250299275365,23625.643184265395,25520.44180277507,24752.954333797847,26946.969981216458,27058.223387944206,28530.511190723195,184927,244377,276850,304104,394836,418877,426421,419842,435876,441754,10444.350213380063,13801.793003898805,15633.673916003341,17170.88785302743,22290.429743653393,23646.833315652602,24072.599167650824,23701.649834799748,24604.96243748275,24933.17984940448
6,17,BRB,Barbados,9,18,15,20,10,4,3,4,9,20,0.5332800495039148,1.066552197718012,0.8887973274966652,1.1850580089360314,0.5925271331126108,0.23700761974861562,0.17775445412897883,0.23700517639486285,0.533261854978456,1.1850457404836983,0,4,4,0,4,8,10,11,7,2,0.0,0.23700299306394912,0.23700299306394912,0.0,0.23701338997725985,0.4740243366374024,0.5925287964117976,0.6517822218492878,0.4147686759856774,0.11850440772621332
7,20,BLZ,Belize,10181,15817,15361,13255,11681,11269,12733,17753,20282,19739,591.1291967192049,918.366280862377,892.0273995543147,769.8701109181271,678.558846153513,654.5460363358382,739.3813670109191,1031.3014675130037,1179.1374287767494,1147.6789932932759,37115,57622,63868,68495,72669,75442,72539,64995,61915,65220,2154.927580166705,3345.682668369652,3707.807246673478,3976.2662283008435,4218.607201536726,4379.861311931616,4211.569842562125,3772.8961270748905,3593.386559906999,3785.255768916113
8,21,BEN,Benin,1684,3552,5816,7490,8407,8764,8850,8544,8437,8819,101.74922382559383,214.61837252503395,351.4207282180748,452.5717152443699,507.9816062067549,529.5496012637657,534.745360033299,516.254476325533,509.7906927932786,532.8710594446086,12960,17190,16302,12349,9835,8132,8478,8314,8651,9872,783.0741417281624,1038.6534739215128,984.9894774898419,746.133176678082,594.2178311533323,491.3226244253044,512.2244495640396,502.33140822159226,522.698601958552,596.4859862947671
9,26,BRA,Brazil,379325,535299,565722,549473,653166,810793,981155,1092803,1169423,1176172,22912.59620435984,32306.435338978958,34103.568331285205,33120.366252368935,39437.46206041379,49041.33633355086,59384.61462898405,66170.7912437179,70811.43983361847,71210.52291015677,573364,800331,831751,891816,1087666,1159607,1175087,1239453,1323504,1342908,34627.68460943104,48297.43626927197,50204.94617425506,53843.24763848209,65728.12598240809,70110.8154631449,71050.19429049602,74944.00961508855,79942.31721964155,81109.8243016396
