,gmw_fid_uid,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
42,123,25631.48158669249,25671.531917322733,25653.547248135386,25740.210062647177,25751.08861175619,25715.59896673709,25572.605967137606,25522.04477333433,25494.452864580326,25556.37999806629,25580.873874041237
43,125,148.83194506496008,149.12850844913834,148.53486076295422,148.23807393142488,148.00031180384502,147.2876308020671,146.57357655382424,144.9096874175476,146.15789913404853,147.40611311825404,147.46523110729322
44,127,24703.657244335536,24177.169315045936,24150.899588852906,24354.048521101715,24351.137844606772,24270.503693591516,24339.367946292776,24520.87316006334,24614.42991489726,24578.854738199032,24571.439941802477
45,128,53820.17551458157,54790.89944639521,54897.88069158158,55146.91598630517,55023.13777015004,53280.55870574368,52991.15513366893,52292.73524942483,51718.734200439176,50991.13164010847,50649.02516187084
46,129,46.327249954252316,46.327249954252316,46.327249954252316,46.327249954252316,46.327249954252316,46.38636684834309,46.208890436792984,44.90729905441523,45.08479860647532,45.854053487246745,46.03172558071917
47,130,26621.598502798894,26677.944461683262,26648.273834136256,26670.608102866547,26770.81755834118,26311.50151713595,26323.767190874918,26264.035152771023,26070.49691982258,25837.249526801148,25627.201915681944
48,132,55209.364935972975,56154.857971073194,56480.606981964534,56912.95578574672,56681.01164974436,54788.4601848433,54177.18029011839,54522.04904778676,54643.89557638786,53674.93608756769,52832.04667241734
49,134,15977.301411216205,14974.583451976225,14765.704624421765,14769.935675571567,14535.763558257655,14181.629729366561,14000.255688859952,14066.72961831899,14297.965963324583,14429.411343477954,14416.287270364981
50,136,2587032.3350875704,2482213.7438696874,2437879.9301469643,2424874.401261738,2412868.59634751,2387319.6037125867,2371604.466661947,2364394.843595413,2362016.348837677,2363541.0134859383,2376521.4229383324
51,138,396175.3938098599,390715.51509529597,387265.79563645896,388233.19540938694,387822.94500368246,393861.43015987735,395780.2626143141,397088.02417507174,397667.30771305825,396224.61597797426,391455.21246386087
52,140,13617.550558499877,11184.420394421197,9942.633059518272,10031.407874812505,10129.41312755134,10436.985926466054,9939.461363582064,9823.9708714381,9922.6803644449,10265.405996184085,9640.204260637694
53,145,9436.310076812986,9705.815283060478,9699.560305720372,9639.14346387908,9437.292103089443,8965.71426620818,8793.22121076573,8742.857324552937,8763.457534100691,8777.570902421014,8776.993136123143
54,148,748.7926557729375,745.0139316512937,742.9192503949101,742.931157643708,739.6983358121679,734.5545884253776,727.9461979422516,726.8363097585946,733.0792125275071,739.4250743809133,741.4175014506749
55,150,41897.91246955046,41561.29811589019,41306.52679010405,41557.25472653988,41581.44027700316,41284.91760526374,40950.200188559786,41012.32688907309,41331.37222186186,41504.723499860695,41381.61979985551
56,152,64271.50419010859,62203.80459682022,61403.074867623414,61124.111307875544,60981.97213783479,60479.035055311746,60395.04580466385,60436.46986139434,60597.078358093204,60952.660605676356,61590.858087856286
57,153,60.105924578771,60.105924578771,60.105924578771,60.105924578771,60.105924578771,60.105924578771,60.105924578771,60.105924578771,60.105924578771,60.105924578771,60.105924578771
58,154,33.69922286792966,34.861113510848,35.90671594456051,35.20952746357699,34.62852125454143,32.94375989502969,32.13037859099944,31.433090172749505,32.24647721355142,34.16410828555,34.687113454440464
59,159,16920.20384780001,17070.49413934481,17076.76673097718,17104.81428261847,17126.12165610456,17074.30572311531,16969.286617522463,16984.847712668576,16909.789977134933,16779.026307733613,16490.53446354747
60,161,158.378186641279,158.85098756107075,158.3194105068079,157.7286610510772,157.49229584694646,157.61043289575343,156.84219088772903,155.7195502638182,156.96017270680647,157.96454669156498,157.55089530533138
61,163,25025.914195739893,22176.579178607615,19388.9461071641,17937.803389649558,17530.701291880905,18283.226603174797,19194.720947082667,19450.21715570647,19222.959065619096,18181.741318160988,17578.70945256635
62,168,1.1571619487237532,1.1571619487237532,1.0993042691717603,1.2728781658045625,1.2728781658045625,1.2728781658045625,1.2728781658045625,1.215020200260295,1.1571622347160275,1.0414465181204147,0.9835886240729321
63,172,259821.30575537717,255608.86977304693,253590.13595336833,253434.36422525896,252813.96393749738,252244.6548532921,251218.80817184056,251122.91608940053,251753.36259023895,252526.0525793326,252034.14752895315
64,173,0.48625966084825195,0.48625966084825195,0.48625966084825195,0.48625966084825195,0.48625966084825195,0.48625966084825195,0.48625966084825195,0.48625966084825195,0.48625966084825195,0.48625966084825195,0.48625966084825195
65,174,1046592.6067946384,1017912.531150853,1001275.8640578849,991172.6889470092,987378.7940598604,981453.8473766295,981928.0457699333,987317.871500063,998635.193433837,1000512.6806748721,989019.1199718645
66,175,20.388329210199014,20.388329210199014,20.388329210199014,20.388329210199014,20.388329210199014,20.388329210199014,20.388329210199014,20.388329210199014,20.388329210199014,20.388329210199014,20.388329210199014
67,179,570704.4210958735,538653.4175623595,530071.8612201968,532949.8147436111,528131.3230180155,513908.25926608365,511971.00595843274,514302.7003653122,513172.3680169135,513094.21349076263,520613.91585744615
68,183,305412.6036746476,302891.0941582165,297768.86388126446,295845.53718677146,294957.9549699381,294520.02215732157,293816.95770848,294220.2658328677,293244.0042136014,290370.6531276231,285063.80892097845
69,184,323.26867700987464,313.962216404133,304.4912476815854,295.95669338102095,284.5665038830761,307.71719292992367,287.1972016747638,279.01597530395367,272.0215563209853,312.61269838172603,345.2092592050442
70,186,1746.846136120731,1743.6666006761843,1743.6668578702029,1750.0872168097997,1747.8485482209942,1748.3786917244115,1734.3037848671631,1732.65419288145,1739.895978318617,1763.6840268157146,1766.5699265871976
71,187,230.360954611333,209.17946215161774,202.9549981595751,201.75656409240278,202.09739337425304,202.21142796567523,201.7533783707776,198.67153957897068,201.98514981333454,209.40600218867058,211.2329803966022
72,189,488611.19934884075,486949.5431207386,484844.5311144085,485068.35494588857,484458.32044035604,481312.35830544174,479103.31065055006,478939.8455969543,479427.2817270171,479558.74678677996,478206.6720152974
73,190,464.7185642749494,476.69375987023864,482.8604041680338,482.3868919849292,480.31296474786967,467.26999067600684,461.7558158330199,463.5929910620078,469.3453319408532,470.94750865918144,463.59500482799774
74,192,26109.052541435405,25629.71472598373,25544.521562736703,25404.32027811773,25404.723130630577,25403.434594686478,25555.49814800417,25610.80550451425,25855.252081664366,26254.85958572837,26429.90206779948
