,m49_un1,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
0,16,3022.497251489365,3101.7499769660094,3151.696418223736,3112.350142628016,2859.8430594279007,2553.355901299786,2548.8836733365524,2605.4012227699177,2625.0759855508622,2592.851802608216,2567.135670674799
1,24,29342.927970020526,28892.34778222281,28702.012364354297,28744.23963844513,28713.20508122774,28645.484536058302,28339.06335432075,28353.699851472196,28084.696329686507,28188.85855309799,28083.59836282996
2,28,859.9802962022014,789.7312154800146,787.7595617715311,797.2121296035266,840.9033577135613,845.3170721845802,864.9197724571743,875.1196415582936,883.8169229235286,879.8674496659246,869.184263893646
3,36,893392.648095346,871917.9504333112,856994.722412334,857057.5023965688,851078.6984467388,842000.4904547469,836362.9086390479,838689.3091286131,843063.9549875453,845501.698384419,840536.760002002
4,44,169010.17709847726,158534.19560298984,150923.53039117594,150672.03371757132,145919.8634794973,143170.29003655145,143292.65213207586,144260.06677298513,144777.5567459458,146741.11637873732,149792.2083164368
5,48,64.12273359929269,85.60954416843632,90.37600798074348,91.91014928424067,83.9745387742685,59.296980761655256,57.3250157662994,57.76487167639897,59.30067844284399,58.53326905711228,58.36400472416073
6,50,444407.782718924,449539.57403122255,448905.38226180006,448008.2522579315,447737.2693561866,445741.1203505509,446279.51539706107,445086.6031312013,447651.90917609376,446859.73629478796,448004.7161722554
7,52,9.776483079044546,10.309763128548463,10.606032283698609,10.428277413477261,10.961541087980578,10.131996822179897,9.539466362155759,9.361708736761729,9.361706033590123,9.894976258037325,10.843024411802032
8,60,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526,20.941198617230526
9,76,1147458.9083517038,1135743.8199466325,1131467.907421411,1131357.5305087345,1126736.0269655904,1121168.24442971,1126389.42922211,1135793.3286901922,1138685.6899803334,1138328.0309656805,1137559.6069602212
10,84,54572.73977517673,53009.11486158435,52145.71250368714,51757.191220814195,51366.6327738117,51032.80706631566,50847.59796936418,51100.782592813615,51831.37640880295,52158.606290424796,51935.10517607709
11,90,52730.52152207189,52952.95708059249,53038.0257323818,53136.296384609406,52900.297896740965,52455.49552911091,52213.743066885494,52038.221026362684,52353.13218841717,52697.46243843264,52565.004139532604
12,92,87.55688150977441,79.6581494883705,78.5625516273848,82.77378614162467,85.94660221131352,88.25342938899217,90.50120424528367,91.3048300037706,92.80352109307523,89.34345575661665,93.32085106178081
13,96,10938.904568788383,10956.046548571181,10936.300897030478,10974.16079683034,10956.8977025468,10908.314750394038,10867.122899402164,10871.362690847844,10922.366448750125,11004.749401445479,10971.555497010795
14,104,582429.6342559154,549326.5697688219,540446.7109047781,543307.7346974589,538294.3834276282,524160.5567011259,522485.2693987935,525128.913308884,524309.2122661512,524426.7671645645,532222.3301548974
15,116,64641.058141873815,62490.45072153004,61685.66687145371,61414.12689058415,61278.54505914876,60824.7979602681,60765.82964298928,60853.773852372266,61045.502192091124,61431.357137477105,62080.66349904422
16,120,196617.57624338835,197508.45389356173,197408.63168722077,197418.07796630368,197623.69914814946,198086.043696394,197559.20776292862,197218.98291411827,197197.71227894162,197676.55692852772,197350.7853799294
