,region,name,1996_count,2007_count,2008_count,2009_count,2010_count,2015_count,2016_count,2017_count,2018_count,2019_count,2020_count,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
86,SUR,Suriname,1250194,1241799,1263032,1271556,1306468,1355331,1368125,1352865,1348547,1346042,1329270,75597.01999033039,75089.45022699509,76373.34699201162,76888.79544054806,78999.83383027665,81954.46979988887,82728.05540829085,81805.24212520407,81544.10908157832,81392.61801212394,80378.49886693268
87,THA,Thailand,4331217,4182487,4086277,4067793,4073171,4076586,4081531,4105579,4100395,4129409,4175958,259812.33782474903,250965.44285019345,245228.85192717807,244126.66318114125,244446.46399929278,244647.8591291238,244935.9674259462,246368.69861896106,246074.73358796313,247804.82695094022,250563.4704487168
88,TLS,Timor-Leste,17416,17539,17322,17329,17251,17435,17398,17455,17397,17491,17454,1046.4981524212187,1053.9145736079442,1040.8746278705376,1041.296127036617,1036.6123488938479,1047.6763165504499,1045.4513591104578,1048.8777538689785,1045.3899091036537,1051.0385711667093,1048.8154226300185
89,TGO,Togo,572,490,435,440,465,443,427,451,434,474,529,34.56721579850689,29.611793562900417,26.288053932237027,26.59020209431909,28.100950079236796,26.771401107311394,25.804521359282532,27.25489739714417,26.227605636997446,28.644964719613746,31.968805945273225
90,TON,Tonga,18493,18277,18375,18659,18767,19035,19037,18922,18749,18524,18207,1055.1859767318538,1042.8825391026578,1048.6306594761336,1064.7990097299448,1070.7912675078842,1085.9135376559395,1085.9813727886901,1079.5071371097533,1069.6811805423931,1056.930887205971,1038.8445013589767
91,TTO,Trinidad and Tobago,138910,137791,137350,137401,137722,137510,137071,136984,138802,139554,136939,8307.319486996392,8240.349240749627,8213.956917544943,8217.000619812872,8236.222931733575,8223.562929685231,8197.321201043225,8192.116726477234,8300.821078429039,8345.756509913157,8189.305246701981
92,TUV,Tuvalu,148,148,148,148,148,148,148,148,148,148,148,8.911715002600111,8.911715002600111,8.911715002600111,8.911715002600111,8.911715002600111,8.911715002600111,8.911715002600111,8.911715002600111,8.911715002600111,8.911715002600111,8.911715002600111
93,ARE,United Arab Emirates,137014,145124,155172,150893,139315,129586,127782,130751,132943,133713,133453,7583.587704775777,8035.603365682864,8593.83335580437,8355.75390529604,7713.62108461238,7173.228683066385,7073.09966268428,7237.599149998192,7358.721645871321,7401.136446070723,7387.32406224993
94,GBR,United Kingdom of Great Britain & Northern Ireland,452422,342339,312321,311467,301854,319452,332201,341891,333151,335589,347897,25659.39870963232,19429.755310128017,17731.015040082693,17682.69718635555,17138.856428411236,18133.736119115998,18854.71785674678,19402.787048967202,18908.762958009578,19046.780511109067,19742.660490849663
95,TZA,United Republic of Tanzania,1887349,1862412,1845532,1849376,1843311,1837685,1827656,1826928,1840206,1845003,1823838,113659.21603441787,112155.84048441876,111138.88448111774,111369.91131142688,111005.14867251966,110665.34722262852,110061.74390915492,110017.66338824797,110817.55617650723,111106.16887719138,109831.41463807401
96,USA,United States of America,4526697,4502737,4460751,4457604,4387504,4304611,4282444,4280749,4296014,4329972,4350494,248891.0692281703,247575.12432368414,245265.4718756014,245078.01550961027,241242.611411987,236723.01676629385,235522.776512554,235433.17810757496,236287.24715489766,238124.72175093586,239231.21346335407
